Name of Member,Party Name,Constituency,State,UT,Category,Woman,First time,Age,DOB
"Yadav, Dr. Krishnapal Singh",Bharatiya Janata Party,Guna,Madhya Pradesh,0,General,0,1,45,1/15/1976
"Bapat, Shri Girish Bhalchandra",Bharatiya Janata Party,Pune,Maharashtra,0,General,0,1,71,3/9/1950
"Barne, Shri Shrirang Appa",Shiv Sena,Maval,Maharashtra,0,General,0,0,57,2/16/1964
"Bhamre, Dr. Subhash Ramrao",Bharatiya Janata Party,Dhule,Maharashtra,0,General,0,0,67,11/9/1953
"Bhavana Gawali (Patil), Ms.",Shiv Sena,Yavatmal-Washim,Maharashtra,0,General,1,0,48,5/23/1973
"Chikhalikar, Shri Prataprao Patil",Bharatiya Janata Party,Nanded,Maharashtra,0,General,0,1,60,2/8/1961
"Danve, Shri Raosaheb Dadarao",Bharatiya Janata Party,Jalna,Maharashtra,0,General,0,0,66,3/18/1955
"Dhanorkar, Shri Balubhau Narayanrao (Alias Suresh)",Indian National Congress,Chandrapur,Maharashtra,0,General,0,1,46,4/5/1975
"Dhotre, Shri Sanjay Shamrao",Bharatiya Janata Party,Akola,Maharashtra,0,General,0,0,62,2/26/1959
"Gadkari, Shri Nitin Jairam",Bharatiya Janata Party,Nagpur,Maharashtra,0,General,0,0,64,5/27/1957
"Gavit, Dr. Heena Vijaykumar",Bharatiya Janata Party,Nandurbar,Maharashtra,0,ST,1,0,33,6/28/1987
"Gavit, Shri Rajendra Dhedya",Shiv Sena,Palghar,Maharashtra,0,ST,0,0,53,7/24/1967
"Godse, Shri Hemant Tukaram",Shiv Sena,Nashik,Maharashtra,0,General,0,0,51,3/8/1970
"Jadhav, Shri Prataprao",Shiv Sena,Buldhana,Maharashtra,0,General,0,0,60,11/25/1960
"Jadhav, Shri Sanjay Haribhau",Shiv Sena,Parbhani,Maharashtra,0,General,0,0,54,1/6/1967
"Khadse, Smt. Raksha Nikhil",Bharatiya Janata Party,Raver,Maharashtra,0,General,1,0,34,5/13/1987
"Kirtikar, Shri Gajanan Chandrakant",Shiv Sena,Mumbai-North-West,Maharashtra,0,General,0,0,78,3/9/1943
"Kolhe, Dr. Amol Ramsing",Nationalist Congress Party,Shirur,Maharashtra,0,General,0,1,40,9/18/1980
"Kotak, Shri Manoj Kishorbhai",Bharatiya Janata Party,Mumbai-North-East,Maharashtra,0,General,0,1,48,12/25/1972
"Lokhande, Shri Sadashiv Kisan",Shiv Sena,Shirdi,Maharashtra,0,SC,0,0,59,1/6/1962
"Mahajan, Smt. Poonam Pramod",Bharatiya Janata Party,Mumbai-North-Central,Maharashtra,0,General,1,0,40,9/12/1980
"Mahaswamiji, Dr. Jaisiddeshwar Shivacharya",Bharatiya Janata Party,Solapur,Maharashtra,0,SC,0,1,66,1/6/1955
"Mandlik, Prof. Sanjay Sadashivrao",Shiv Sena,Kolhapur,Maharashtra,0,General,0,1,57,4/13/1964
"Mane, Shri Dhairyasheel S.",Shiv Sena,Hatkanangle,Maharashtra,0,General,0,1,40,12/23/1980
"Mendhe, Shri Sunil Baburao",Bharatiya Janata Party,Bhandara-Gondiya,Maharashtra,0,General,0,1,53,4/14/1968
"Munde, Dr. Pritam Gopinath Rao",Bharatiya Janata Party,Beed,Maharashtra,0,General,1,0,38,2/17/1983
"Naik Nimbalkar, Shri Ranjeetsingh",Bharatiya Janata Party,Madha,Maharashtra,0,General,0,1,44,2/19/1977
"Nete, Shri Ashok Mahadeorao",Bharatiya Janata Party,Gadchiroli-Chimur,Maharashtra,0,ST,0,0,53,1/7/1968
"Patil, Shri Hemant Shriram",Shiv Sena,Hingoli,Maharashtra,0,General,0,1,50,12/16/1970
"Patil, Shri Kapil Moreshwar",Bharatiya Janata Party,Bhiwandi,Maharashtra,0,General,0,0,60,5/3/1961
"Patil, Shri Sanjay(Kaka) Ramchandra",Bharatiya Janata Party,Sangli,Maharashtra,0,General,0,0,56,4/1/1965
"Patil, Shri Shriniwas Dadasaheb",Nationalist Congress Party,Satara,Maharashtra,0,General,0,0,79,11/4/1941
"Patil, Shri Unmesh Bhaiyyasaheb",Bharatiya Janata Party,Jalgaon,Maharashtra,0,General,0,1,42,6/24/1978
"Pawar, Dr. Bharati Pravin",Bharatiya Janata Party,Dindori,Maharashtra,0,ST,1,1,42,9/13/1978
"Rajenimbalkar, Shri Omprakash Bhupalsingh alias Pavan",Shiv Sena,Osmanabad,Maharashtra,0,General,0,1,38,1/7/1983
"Rana, Smt Navneet Ravi",Independent,Amravati,Maharashtra,0,SC,1,1,36,6/4/1985
"Raut, Shri Vinayak Bhaurao",Shiv Sena,Ratnagiri-Sindhudurg,Maharashtra,0,General,0,0,67,3/15/1954
"Sawant, Shri Arvind Ganpat",Shiv Sena,Mumbai-South,Maharashtra,0,General,0,0,69,12/31/1951
"Shetty, Shri Gopal Chinayya",Bharatiya Janata Party,Mumbai-North,Maharashtra,0,General,0,0,67,1/31/1954
"Shewale, Shri Rahul Ramesh",Shiv Sena,Mumbai South-Central,Maharashtra,0,General,0,0,48,4/14/1973
"Shinde, Dr. Shrikant Eknath",Shiv Sena,Kalyan,Maharashtra,0,General,0,0,34,4/2/1987
"Shrangare, Shri Sudhakar Tukaram",Bharatiya Janata Party,Latur,Maharashtra,0,SC,0,1,59,5/5/1962
"Sule, Smt. Supriya Sadanand",Nationalist Congress Party,Baramati,Maharashtra,0,General,1,0,51,6/30/1969
"Syed Imtiaz Jaleel, Shri",All India Majlis-E-Ittehadul Muslimeen,Aurangabad,Maharashtra,0,General,0,1,52,10/8/1968
"Tadas, Shri Ramdas Chandrabhanji",Bharatiya Janata Party,Wardha,Maharashtra,0,General,0,0,68,1/4/1953
"Tatkare, Shri Sunil Dattatray",Nationalist Congress Party,Raigad,Maharashtra,0,General,0,1,65,10/7/1955
"Tumane, Shri Krupal Balaji",Shiv Sena,Ramtek,Maharashtra,0,SC,0,0,56,1/6/1965
"Vichare, Shri Rajan Baburao",Shiv Sena,Thane,Maharashtra,0,General,0,0,60,1/8/1961
"Vikhepatil, Dr. Sujay Radhakrishna",Bharatiya Janata Party,Ahmednagar,Maharashtra,0,General,0,1,39,11/24/1981
"Pfoze, Dr. Lorho S.",Naga Peoples Front,Outer Manipur,Manipur,0,ST,0,1,61,1/27/1960
"Rajkumar, Dr. Ranjan Singh",Bharatiya Janata Party,Inner Manipur,Manipur,0,General,0,1,69,1/9/1952
"Pala, Shri Vincent H.",Indian National Congress,Shillong,Meghalaya,0,ST,0,0,53,2/14/1968
"Sangma, Smt. Agatha K.",National People's Party,Tura,Meghalaya,0,ST,1,0,40,7/24/1980
"Lalrosanga, Shri C.",Mizo National Front,Mizoram,Mizoram,0,ST,0,1,64,1/3/1957
"Yepthomi, Shri Tokheho",Nationalist Democratic Progressive Party,Nagaland,Nagaland,0,General,0,0,65,1/4/1956
"Bidhuri, Shri Ramesh",Bharatiya Janata Party,South Delhi,Delhi,1,General,0,0,59,7/18/1961
"Gambhir, Shri Gautam",Bharatiya Janata Party,East Delhi,Delhi,1,General,0,1,39,10/14/1981
"Hans, Shri Hans Raj",Bharatiya Janata Party,North West Delhi,Delhi,1,SC,0,1,58,9/4/1962
"Harsh Vardhan , Dr.",Bharatiya Janata Party,Chandni Chowk,Delhi,1,General,0,0,66,12/13/1954
"Lekhi, Smt. Meenakashi",Bharatiya Janata Party,New Delhi,Delhi,1,General,1,0,54,4/30/1967
"Singh, Shri Parvesh Sahib",Bharatiya Janata Party,West Delhi,Delhi,1,General,0,0,43,7/11/1977
"Tiwari, Shri Manoj Kumar",Bharatiya Janata Party,North East Delhi,Delhi,1,General,0,0,50,1/2/1971
"Bisoyi, Smt. Pramila",Biju Janata Dal,Aska,Odisha,0,General,1,1,72,9/15/1948
"Deb, Shri Nitesh Ganga",Bharatiya Janata Party,Sambalpur,Odisha,0,General,0,1,48,7/22/1972
"Mahtab, Shri Bhartruhari",Biju Janata Dal,Cuttack,Odisha,0,General,0,0,63,8/9/1957
"Majhi, Shri Ramesh Chandra",Biju Janata Dal,Nabarangpur,Odisha,0,ST,0,1,42,9/4/1978
"Mallick, Dr. Rajashree",Biju Janata Dal,Jagatsinghpur,Odisha,0,SC,1,1,57,3/11/1964
"Mandal, Smt. Manjulata",Biju Janata Dal,Bhadrak,Odisha,0,SC,1,1,44,6/26/1976
"Misra, Shri Pinaki",Biju Janata Dal,Puri,Odisha,0,General,0,0,61,10/23/1959
"Mohanty, Shri Anubhav",Biju Janata Dal,Kendrapara,Odisha,0,General,0,1,39,12/24/1981
"Murmu, Ms. Chandrani",Biju Janata Dal,Keonjhar,Odisha,0,ST,1,1,27,6/16/1993
"Oram, Shri Jual",Bharatiya Janata Party,Sundargarh,Odisha,0,ST,0,0,60,3/22/1961
"Panda, Shri Basanta Kumar",Bharatiya Janata Party,Kalahandi,Odisha,0,General,0,1,59,12/5/1961
"Pratap Chandra Sarangi, Shri",Bharatiya Janata Party,Balasore,Odisha,0,General,0,1,66,4/1/1955
"Pujari, Shri Suresh Kumar",Bharatiya Janata Party,Bargarh,Odisha,0,General,0,1,60,7/29/1960
"Sahoo, Shri Mahesh",Biju Janata Dal,Dhenkanal,Odisha,0,General,0,1,59,10/2/1961
"Sahu, Shri Chandra Sekhar",Biju Janata Dal,Berhampur,Odisha,0,General,0,0,70,7/7/1950
"Samanta, Shri Achyutananda",Biju Janata Dal,Kandhamal,Odisha,0,General,0,1,57,1/20/1964
"Sarangi, Smt. Aparajita",Bharatiya Janata Party,Bhubaneswar,Odisha,0,General,1,1,51,8/10/1969
"Sethi, Smt. Sarmistha Kumari",Biju Janata Dal,Jajpur,Odisha,0,SC,1,1,47,4/2/1974
"Singh Deo, Smt. Sangeeta Kumari",Bharatiya Janata Party,Bolangir,Odisha,0,General,1,0,60,3/12/1961
"Tudu, Shri Bishweswar",Bharatiya Janata Party,Mayurbhanj,Odisha,0,ST,0,1,56,3/28/1965
"Ulaka, Shri Saptagiri Sankar",Indian National Congress,Koraput,Odisha,0,ST,0,1,42,1/1/1979
"Ve., Shri Vaithilingam",Indian National Congress,Puducherry,Puducherry,1,General,0,1,71,5/10/1950
"Aujla, Shri Gurjeet Singh",Indian National Congress,Amritsar,Punjab,0,General,0,0,48,10/30/1972
"Badal, Smt. Harsimrat Kaur",Shiromani Akali Dal,Bathinda,Punjab,0,General,1,0,54,7/25/1966
"Badal, Shri Sukhbir Singh",Shiromani Akali Dal,Ferozpur,Punjab,0,General,0,0,58,9/7/1962
"Chaudhary, Shri Santokh Singh",Indian National Congress,Jalandhar,Punjab,0,SC,0,0,74,6/18/1946
"Deol, Shri Sunny",Bharatiya Janata Party,Gurdaspur,Punjab,0,General,0,1,63,10/19/1957
"Gill, Shri Jasbir Singh",Indian National Congress,Khadoor Sahib,Punjab,0,General,0,1,,
"Kaur, Smt. Preneet",Indian National Congress,Patiala,Punjab,0,General,1,0,77,3/10/1944
"Mann, Shri Bhagwant",Aam Aadmi Party,Sangrur,Punjab,0,General,0,0,47,10/17/1973
"Parkash, Shri Som",Bharatiya Janata Party,Hoshiarpur,Punjab,0,SC,0,1,72,3/4/1949
"Sadique, Mohammad",Indian National Congress,Faridkot,Punjab,0,SC,0,1,82,4/3/1939
"Singh, Dr. Amar",Indian National Congress,Fatehgarh Sahib,Punjab,0,SC,0,1,68,5/26/1953
"Singh, Shri Ravneet",Indian National Congress,Ludhiana,Punjab,0,General,0,0,45,10/9/1975
"Tewari, Shri Manish",Indian National Congress,Anandpur Sahib,Punjab,0,General,0,0,55,8/12/1965
"Baheria, Shri Subhash Chandra",Bharatiya Janata Party,Bhilwara,Rajasthan,0,General,0,0,64,12/17/1956
"Beniwal, Shri Hanuman",Rashtriya Loktantrik Party,Nagaur,Rajasthan,0,General,0,1,49,2/3/1972
"Bhagirath Choudhary, Shri",Bharatiya Janata Party,Ajmer,Rajasthan,0,General,0,1,67,1/6/1954
"Birla, Shri Om",Bharatiya Janata Party,Kota,Rajasthan,0,General,0,0,58,11/23/1962
"Bohra, Shri Ramcharan",Bharatiya Janata Party,Jaipur,Rajasthan,0,General,0,0,65,1/7/1956
"Chaudhary, Shri P.P.",Bharatiya Janata Party,Pali,Rajasthan,0,General,0,0,67,12/7/1953
"Chauhan, Shri Nihal Chand",Bharatiya Janata Party,Ganganagar,Rajasthan,0,SC,0,0,50,4/2/1971
"Choudhary, Shri Kailash",Bharatiya Janata Party,Barmer,Rajasthan,0,General,0,1,47,9/20/1973
"Jaunapuria, Shri Sukhbir Singh",Bharatiya Janata Party,Tonk-Sawai Madhopur,Rajasthan,0,General,0,0,63,10/18/1957
"Joshi, Shri Chandra Prakash",Bharatiya Janata Party,Chittorgarh,Rajasthan,0,General,0,0,46,4/11/1975
"Kaswan, Shri Rahul",Bharatiya Janata Party,Churu,Rajasthan,0,General,0,0,44,1/20/1977
"Katara, Shri Kanakmal",Bharatiya Janata Party,Banswara,Rajasthan,0,ST,0,1,64,4/5/1957
"Koli, Smt. Ranjeeta",Bharatiya Janata Party,Bharatpur,Rajasthan,0,SC,1,1,42,5/9/1979
"Kumar, Shri Narendra",Bharatiya Janata Party,Jhunjhunu,Rajasthan,0,General,0,1,60,6/29/1960
"Kumari, Km. Diya",Bharatiya Janata Party,Rajsamand,Rajasthan,0,General,1,1,50,1/30/1971
"Meena, Shri Arjunlal",Bharatiya Janata Party,Udaipur,Rajasthan,0,ST,0,0,56,12/8/1964
"Meena, Smt. Jaskaur",Bharatiya Janata Party,Dausa,Rajasthan,0,ST,1,0,74,3/5/1947
"Meghwal, Shri Arjun Ram",Bharatiya Janata Party,Bikaner,Rajasthan,0,SC,0,0,67,12/20/1953
"Nath, Shri Balak",Bharatiya Janata Party,Alwar,Rajasthan,0,General,0,1,37,4/16/1984
"Patel, Shri Devji Mansingram",Bharatiya Janata Party,Jalore,Rajasthan,0,General,0,0,44,9/25/1976
"Rajoria, Dr. Manoj",Bharatiya Janata Party,Karauli-Dholpur,Rajasthan,0,SC,0,0,51,12/19/1969
"Rathore, Col. Rajyavardhan Singh",Bharatiya Janata Party,Jaipur Rural,Rajasthan,0,General,0,0,51,1/29/1970
"Saraswati, Shri Sumedhanand",Bharatiya Janata Party,Sikar,Rajasthan,0,General,0,0,70,1/10/1951
"Shekhawat, Shri Gajendra Singh",Bharatiya Janata Party,Jodhpur,Rajasthan,0,General,0,0,54,3/10/1967
"Singh, Shri Dushyant",Bharatiya Janata Party,Jhalawar-Baran,Rajasthan,0,General,0,0,47,11/9/1973
"Subba, Shri Indra Hang",Sikkim Krantikari Morcha,Sikkim,Sikkim,0,General,0,1,32,2/2/1989
"A. Raja, Shri",Dravida Munnetra Kazhagam,Nilgiris,Tamil Nadu,0,SC,0,0,57,10/5/1963
"Annadurai, Shri C.N.",Dravida Munnetra Kazhagam,Tiruvannamalai,Tamil Nadu,0,General,0,1,47,6/21/1973
"Baalu, Shri Thalikkottai Rajuthevar",Dravida Munnetra Kazhagam,Sriperumbudur,Tamil Nadu,0,General,0,0,80,6/15/1941
"Chellakumar, Dr. A.",Indian National Congress,Krishnagiri,Tamil Nadu,0,General,0,1,60,12/1/1960
"Chidambaram, Shri Karti P.",Indian National Congress,Sivaganga,Tamil Nadu,0,General,0,1,49,11/16/1971
"Chinraj, Shri A.K.P.",Dravida Munnetra Kazhagam,Namakkal,Tamil Nadu,0,General,0,1,56,1/6/1965
"DNV Senthilkumar S, Dr.",Dravida Munnetra Kazhagam,Dharmapuri,Tamil Nadu,0,General,0,1,43,6/22/1977
"Ganeshamurthi, Shri A.",Dravida Munnetra Kazhagam,Erode,Tamil Nadu,0,General,0,0,73,10/6/1947
"Gnanathiraviam, Shri S.",Dravida Munnetra Kazhagam,Tirunelveli,Tamil Nadu,0,General,0,1,56,7/15/1964
"Jagathrakshakan, Shri S.",Dravida Munnetra Kazhagam,Arakkonam,Tamil Nadu,0,General,0,0,73,6/2/1948
"Jayakumar, Dr. K.",Indian National Congress,Tiruvallur,Tamil Nadu,0,SC,0,1,71,1/3/1950
"Jothi Mani, Ms. S.",Indian National Congress,Karur,Tamil Nadu,0,General,1,1,45,9/6/1975
"K. Navas, Shri Kani",Indian Union Muslim League,Ramanathapuram,Tamil Nadu,0,General,0,1,42,5/14/1979
"Kalanidhi, Dr. Veeraswamy",Dravida Munnetra Kazhagam,Chennai North,Tamil Nadu,0,General,0,1,52,4/25/1969
"Karunanidhi, Smt. Kanimozhi",Dravida Munnetra Kazhagam,Thoothukkudi,Tamil Nadu,0,General,1,1,53,5/1/1968
"Kathir Anand, Shri Durai Murugan",Dravida Munnetra Kazhagam,Vellore,Tamil Nadu,0,General,0,1,46,1/19/1975
"Kumar, Shri Dhanush M",Dravida Munnetra Kazhagam,Tenkasi,Tamil Nadu,0,SC,0,1,45,8/31/1975
"Maran, Thiru Dayanidhi",Dravida Munnetra Kazhagam,Chennai Central,Tamil Nadu,0,General,0,0,55,5/12/1966
"Natarajan, Shri P.R.",Communist Party of India (Marxist),Coimbatore,Tamil Nadu,0,General,0,0,70,12/21/1950
"Paarivendhar, Dr. T. R.",Dravida Munnetra Kazhagam,Perambalur,Tamil Nadu,0,General,0,1,79,8/24/1941
"Palanimanickam, Shri S.S.",Dravida Munnetra Kazhagam,Thanjavur,Tamil Nadu,0,General,0,0,70,8/15/1950
"Parthiban, Shri S.R.",Dravida Munnetra Kazhagam,Salem,Tamil Nadu,0,General,0,1,51,1/1/1970
"Pon, Dr. Gautham Sigamani",Dravida Munnetra Kazhagam,Kallakurichi,Tamil Nadu,0,General,0,1,46,6/21/1974
"Ramalingam, Shri S.",Dravida Munnetra Kazhagam,Mayiladuthurai,Tamil Nadu,0,General,0,1,76,4/24/1945
"Ramesh, Shri T.R.V.S.",Dravida Munnetra Kazhagam,Cuddalore,Tamil Nadu,0,General,0,1,50,9/11/1970
"Ravikumar, Dr. D.",Dravida Munnetra Kazhagam,Viluppuram,Tamil Nadu,0,SC,0,1,61,5/29/1960
"Ravindhranath, Shri P.",All India Anna Dravida Munnetra Kazhagam,Theni,Tamil Nadu,0,General,0,1,41,3/2/1980
"Selvam, Shri Ganesan",Dravida Munnetra Kazhagam,Kancheepuram,Tamil Nadu,0,SC,0,1,46,6/18/1974
"Selvaraj, Shri Muniyan",Communist Party of India,Nagapattinam,Tamil Nadu,0,SC,0,0,64,3/16/1957
"Subbarayan, Shri K.",Communist Party of India,Tiruppur,Tamil Nadu,0,General,0,0,73,10/8/1947
"Sundaram, Shri K. Shanmuga",Dravida Munnetra Kazhagam,Pollachi,Tamil Nadu,0,General,0,1,51,1/6/1970
"T. Sumathy (A) Thamizhachi Thangapandian, Dr.,",Dravida Munnetra Kazhagam,Chennai South,Tamil Nadu,0,General,1,1,59,4/25/1962
"Tagore B., Shri Manickam",Indian National Congress,Virudhunagar,Tamil Nadu,0,General,0,0,46,1/6/1975
"Thirumaavalavan, Dr. Tholkappiyan",Viduthalai Chiruthaigal Katchi,Chidambaram,Tamil Nadu,0,SC,0,0,58,10/7/1962
"Thirunavukkarasar, Shri Su.",Indian National Congress,Tiruchirappalli,Tamil Nadu,0,General,0,0,71,7/5/1949
"Vasanth, Shri vijayakumar (Alias) Vijay",Indian National Congress,Kanniyakumari,Tamil Nadu,0,General,0,1,,
"Velusamy, Shri P.",Dravida Munnetra Kazhagam,Dindigul,Tamil Nadu,0,General,0,1,54,3/30/1967
"Venkatesan, Shri S.",Communist Party of India (Marxist),Madurai,Tamil Nadu,0,General,0,1,51,3/16/1970
"Vishnu Prasad, Dr. M.K.",Indian National Congress,Arani,Tamil Nadu,0,General,0,1,48,8/7/1972
"Bandi, Shri Sanjay Kumar",Bharatiya Janata Party,Karimnagar,Telangana,0,General,0,1,49,11/7/1971
"Borlakunta, Shri Venkatesh Netha",Telangana Rashtra Samithi,Peddapalle,Telangana,0,SC,0,1,44,6/16/1976
"Dharmapuri, Shri Arvind",Bharatiya Janata Party,Nizamabad,Telangana,0,General,0,1,44,8/25/1976
"Gangapuram, Shri Kishan Reddy",Bharatiya Janata Party,Secunderabad,Telangana,0,General,0,1,61,6/15/1960
"Maloth, Smt. Kavitha",Telangana Rashtra Samithi,Mahabubabad,Telangana,0,ST,1,1,40,11/20/1980
"Manne, Shri Srinivas Reddy",Telangana Rashtra Samithi,Mahabubnagar,Telangana,0,General,0,1,62,2/1/1959
"Owaisi, Shri Asaduddin",All India Majlis-E-Ittehadul Muslimeen,Hyderabad,Telangana,0,General,0,0,52,5/13/1969
"Pasunoori, Shri Dayakar",Telangana Rashtra Samithi,Warangal,Telangana,0,SC,0,0,54,2/8/1967
"Patil, Shri Bheemrao Baswanthrao",Telangana Rashtra Samithi,Zahirabad,Telangana,0,General,0,0,66,1/11/1955
"Pothuganti, Shri Ramulu",Telangana Rashtra Samithi,Nagarkurnool,Telangana,0,SC,0,1,68,8/17/1952
"Rao, Shri Nama Nageswara",Telangana Rashtra Samithi,Khammam,Telangana,0,General,0,0,64,3/15/1957
"Rao, Shri Soyam Bapu",Bharatiya Janata Party,Adilabad,Telangana,0,ST,0,1,52,4/28/1969
"Reddy, Shri Anumula Revanth",Indian National Congress,Malkajgiri,Telangana,0,General,0,1,53,8/11/1967
"Reddy, Dr. Gaddam Ranjith",Telangana Rashtra Samithi,Chevella,Telangana,0,General,0,1,56,9/18/1964
"Reddy, Shri Komati Reddy Venkat",Indian National Congress,Bhongir,Telangana,0,General,0,1,58,5/23/1963
"Reddy, Shri Kotha Prabhakar",Telangana Rashtra Samithi,Medak,Telangana,0,General,0,0,55,6/6/1966
"Reddy, Shri Uttam Kumar Nalamada",Indian National Congress,Nalgonda,Telangana,0,General,0,1,58,6/20/1962
"Bhoumik, Km. Pratima",Bharatiya Janata Party,Tripura West,Tripura,0,General,1,1,52,5/28/1969
"Tripura, Shri Rebati",Bharatiya Janata Party,Tripura East,Tripura,0,ST,0,1,45,1/9/1976
"Agrawal, Shri Rajendra",Bharatiya Janata Party,Meerut,Uttar Pradesh,0,General,0,0,70,2/10/1951
"Ansari, Shri Afzal",Bahujan Samaj Party,Ghazipur,Uttar Pradesh,0,General,0,0,67,8/14/1953
"Azad, Smt. Sangeeta",Bahujan Samaj Party,Lalganj,Uttar Pradesh,0,SC,1,1,39,6/24/1981
"Baghel, Prof. S.P. Singh",Bharatiya Janata Party,Agra,Uttar Pradesh,0,SC,0,0,60,6/21/1960
"Balyan, Dr. Sanjeev Kumar",Bharatiya Janata Party,Muzaffarnagar,Uttar Pradesh,0,General,0,0,48,6/23/1972
"Barq, Shri Shafiqur Rahman",Samajwadi Party,Sambhal,Uttar Pradesh,0,General,0,0,90,11/7/1930
"Bholanath (B.P. Saroj), Shri",Bharatiya Janata Party,Machhlishahr,Uttar Pradesh,0,SC,0,1,60,1/1/1961
"Bind, Dr. Ramesh Chand",Bharatiya Janata Party,Bhadohi,Uttar Pradesh,0,General,0,1,46,7/3/1974
"Chahar, Shri Rajkumar",Bharatiya Janata Party,Fatehpur Sikri,Uttar Pradesh,0,General,0,1,53,10/7/1967
"Chandel, Kunwar Pushpendra Singh",Bharatiya Janata Party,Hamirpur,Uttar Pradesh,0,General,0,0,47,8/10/1973
"Chandra, Shri Girish",Bahujan Samaj Party,Nagina,Uttar Pradesh,0,SC,0,1,57,1/15/1964
"Chaudhary, Shri Pankaj",Bharatiya Janata Party,Maharajganj,Uttar Pradesh,0,General,0,0,56,11/20/1964
"Chaudhary, Shri Pradeep Kumar",Bharatiya Janata Party,Kairana,Uttar Pradesh,0,General,0,1,51,10/3/1969
"Diler, Shri Rajveer",Bharatiya Janata Party,Hathras,Uttar Pradesh,0,SC,0,1,63,1/5/1958
"Dubey, Shri Vijay Kumar",Bharatiya Janata Party,Kushi Nagar,Uttar Pradesh,0,General,0,1,60,6/20/1960
"Dwivedi, Shri Harish",Bharatiya Janata Party,Basti,Uttar Pradesh,0,General,0,0,47,10/22/1973
"Gandhi, Shri Feroze Varun",Bharatiya Janata Party,Pilibhit,Uttar Pradesh,0,General,0,0,41,3/13/1980
"Gandhi, Smt. Maneka Sanjay",Bharatiya Janata Party,Sultanpur,Uttar Pradesh,0,General,1,0,64,8/26/1956
"Gandhi, Smt. Sonia",Indian National Congress,Rae Bareli,Uttar Pradesh,0,General,1,0,74,9/12/1946
"Gangwar, Shri Santosh Kumar",Bharatiya Janata Party,Bareilly,Uttar Pradesh,0,General,0,0,73,1/11/1948
"Gautam, Shri Satish Kumar",Bharatiya Janata Party,Aligarh,Uttar Pradesh,0,General,0,0,49,1/7/1972
"General (Retd.), Dr. Vijay Kumar Singh",Bharatiya Janata Party,Ghaziabad,Uttar Pradesh,0,General,0,0,69,10/5/1951
"Gupta, Shri Sangamlal Kadedin",Bharatiya Janata Party,Pratapgarh,Uttar Pradesh,0,General,0,1,50,1/4/1971
"Hasan, Dr. S.T.",Samajwadi Party,Moradabad,Uttar Pradesh,0,General,0,1,62,6/29/1958
"Hema Malini, Smt.",Bharatiya Janata Party,Mathura,Uttar Pradesh,0,General,1,0,72,10/16/1948
"Irani, Smt. Smriti Zubin",Bharatiya Janata Party,Amethi,Uttar Pradesh,0,General,1,1,45,3/23/1976
"Jai Prakash, Shri",Bharatiya Janata Party,Hardoi,Uttar Pradesh,0,SC,0,0,63,4/16/1958
"Joshi, Prof. Rita Bahuguna",Bharatiya Janata Party,Allahabad,Uttar Pradesh,0,General,1,1,71,7/22/1949
"Jyoti, Sadhvi Niranjan",Bharatiya Janata Party,Fatehpur,Uttar Pradesh,0,General,1,0,54,1/3/1967
"Kashyap, Shri Dharmendra Kumar",Bharatiya Janata Party,Aonla,Uttar Pradesh,0,General,0,0,53,1/6/1968
"Katheria, Prof. (Dr.) Ram Shankar",Bharatiya Janata Party,Etawah,Uttar Pradesh,0,SC,0,0,56,9/21/1964
"Khan, Shri Mohammad Azam",Samajwadi Party,Rampur,Uttar Pradesh,0,General,0,1,72,8/14/1948
"Kishore, Shri Kaushal",Bharatiya Janata Party,Mohanlalganj,Uttar Pradesh,0,SC,0,0,61,1/25/1960
"Kunwar, Shri Danish Ali",Bahujan Samaj Party,Amroha,Uttar Pradesh,0,General,0,1,45,10/4/1975
"Kushawaha, Shri Ravindra",Bharatiya Janata Party,Salempur,Uttar Pradesh,0,General,0,0,59,1/12/1962
"Lal, Shri Akshaibar",Bharatiya Janata Party,Bahraich,Uttar Pradesh,0,SC,0,1,74,1/1/1947
"Lal, Shri Pakauri",Apna Dal,Robertsganj,Uttar Pradesh,0,SC,0,0,69,2/7/1952
"Maurya, Dr. Sanghamitra",Bharatiya Janata Party,Badaun,Uttar Pradesh,0,General,1,1,36,3/1/1985
"Misra, Shri Ajay (Teni)",Bharatiya Janata Party,Kheri,Uttar Pradesh,0,General,0,0,60,9/25/1960
"Modi, Shri Narendra Damodardas",Bharatiya Janata Party,Varanasi,Uttar Pradesh,0,General,0,0,70,9/17/1950
"Nagar, Shri Malook",Bahujan Samaj Party,Bijnor,Uttar Pradesh,0,General,0,1,57,3/7/1964
"Nishad, Shri Praveen Kumar",Bharatiya Janata Party,Sant Kabir Nagar,Uttar Pradesh,0,General,0,0,33,1/10/1988
"Pachauri, Shri Satyadev",Bharatiya Janata Party,Kanpur,Uttar Pradesh,0,General,0,1,73,12/8/1947
"Pal , Shri Jagdambika",Bharatiya Janata Party,Domariyaganj,Uttar Pradesh,0,General,0,0,70,10/21/1950
"Pandey, Dr. Mahendra Nath",Bharatiya Janata Party,Chandauli,Uttar Pradesh,0,General,0,0,63,10/15/1957
"Pandey, Shri Ritesh",Bahujan Samaj Party,Ambedkar Nagar,Uttar Pradesh,0,General,0,1,40,3/4/1981
"Paswan, Shri Kamlesh",Bharatiya Janata Party,Bansgaon,Uttar Pradesh,0,SC,0,0,45,6/8/1976
